method,attack,n_byz,seed,test_acc
fedavg,none,0,0,0.7796
fedavg,none,0,1,0.7769
fedavg,none,0,2,0.7769
fedavg,none,0,3,0.7741
fedavg,none,0,4,0.7713
fedprox,none,0,0,0.7796
fedprox,none,0,1,0.7769
fedprox,none,0,2,0.7769
fedprox,none,0,3,0.7741
fedprox,none,0,4,0.7713
flevo,none,0,0,0.8072
flevo,none,0,1,0.7934
flevo,none,0,2,0.7796
flevo,none,0,3,0.8017
flevo,none,0,4,0.8044
fedavg,signflip_scale,2,0,0.4742
fedavg,signflip_scale,2,1,0.4777
fedavg,signflip_scale,2,2,0.4708
fedavg,signflip_scale,2,3,0.4742
fedavg,signflip_scale,2,4,0.4742
fedprox,signflip_scale,2,0,0.4742
fedprox,signflip_scale,2,1,0.4777
fedprox,signflip_scale,2,2,0.4708
fedprox,signflip_scale,2,3,0.4742
fedprox,signflip_scale,2,4,0.4742
flevo,signflip_scale,2,0,0.7869
flevo,signflip_scale,2,1,0.7801
flevo,signflip_scale,2,2,0.7801
flevo,signflip_scale,2,3,0.7904
flevo,signflip_scale,2,4,0.7835
fedavg,signflip,2,0,0.7801
fedavg,signflip,2,1,0.7801
fedavg,signflip,2,2,0.7766
fedavg,signflip,2,3,0.7766
fedavg,signflip,2,4,0.7732
fedprox,signflip,2,0,0.7801
fedprox,signflip,2,1,0.7801
fedprox,signflip,2,2,0.7766
fedprox,signflip,2,3,0.7766
fedprox,signflip,2,4,0.7732
flevo,signflip,2,0,0.8076
flevo,signflip,2,1,0.7732
flevo,signflip,2,2,0.7904
flevo,signflip,2,3,0.7938
flevo,signflip,2,4,0.7835
fedavg,gaussian,2,0,0.756
fedavg,gaussian,2,1,0.8041
fedavg,gaussian,2,2,0.7423
fedavg,gaussian,2,3,0.7904
fedavg,gaussian,2,4,0.7526
fedprox,gaussian,2,0,0.756
fedprox,gaussian,2,1,0.8041
fedprox,gaussian,2,2,0.7423
fedprox,gaussian,2,3,0.7904
fedprox,gaussian,2,4,0.7526
flevo,gaussian,2,0,0.7869
flevo,gaussian,2,1,0.7869
flevo,gaussian,2,2,0.7973
flevo,gaussian,2,3,0.7835
flevo,gaussian,2,4,0.8041
fedavg,signflip_scale,3,0,0.4444
fedavg,signflip_scale,3,1,0.4444
fedavg,signflip_scale,3,2,0.4444
fedavg,signflip_scale,3,3,0.4444
fedavg,signflip_scale,3,4,0.4484
fedprox,signflip_scale,3,0,0.4444
fedprox,signflip_scale,3,1,0.4444
fedprox,signflip_scale,3,2,0.4444
fedprox,signflip_scale,3,3,0.4444
fedprox,signflip_scale,3,4,0.4484
flevo,signflip_scale,3,0,0.7976
flevo,signflip_scale,3,1,0.8056
