subject,n_epochs,n_rest,n_move,class_balance,svm_acc,erd_mu,erd_beta,mean_mu_logvar,mean_beta_logvar,feat_std,max_amp_uV,n_flat_ch,n_runs_used
S001,180,90,90,0.5,0.6611,-0.1135,-0.0693,-22.3018,-22.2307,0.4729,613.0,0,6
S002,180,90,90,0.5,0.8,-0.098,-0.0609,-23.4417,-23.179,0.6016,357.0,0,6
S003,180,90,90,0.5,0.6611,-0.0114,-0.0019,-22.1294,-22.2336,0.5055,668.0,0,6
S004,180,90,90,0.5,0.9667,-0.2595,-0.148,-24.1845,-23.8468,0.6672,306.0,0,6
S005,180,90,90,0.5,0.7333,-0.0581,-0.2469,-23.6806,-23.3359,0.6132,317.0,0,6
S006,180,90,90,0.5,0.6056,-0.0415,-0.0779,-24.3671,-23.1956,0.901,327.0,0,6
S007,180,90,90,0.5,0.85,-0.1329,-0.2078,-22.3642,-23.0341,0.8098,349.0,0,6
S008,180,90,90,0.5,0.7778,0.0531,-0.1209,-23.3149,-23.5629,0.5041,324.0,0,6
S009,180,90,90,0.5,0.6222,-0.0469,-0.0288,-22.3119,-21.4734,0.8297,736.0,0,6
S010,180,90,90,0.5,0.5889,-0.0529,-0.0613,-22.2728,-22.3155,0.4403,804.0,0,6
S011,180,90,90,0.5,0.6889,-0.0765,-0.0749,-24.3883,-23.9457,0.5109,319.0,0,6
S012,180,90,90,0.5,0.7889,-0.0694,-0.0749,-23.9175,-23.7205,0.6445,342.0,0,6
S013,180,90,90,0.5,0.7611,-0.3098,-0.1493,-22.0499,-21.3679,0.9371,805.0,0,6
S014,180,90,90,0.5,0.8111,-0.11,-0.1422,-22.4886,-23.0021,0.5484,322.0,0,6
S015,180,90,90,0.5,0.8556,-0.0968,-0.1667,-21.7499,-21.3824,0.5602,779.0,0,6
S016,180,90,90,0.5,0.7222,-0.0747,-0.1872,-23.2385,-23.271,0.5893,304.0,0,6
S017,180,90,90,0.5,0.75,-0.2258,-0.2134,-22.0641,-21.6313,0.6899,800.0,0,6
S018,180,90,90,0.5,0.7,-0.1414,-0.0915,-25.2792,-24.8636,0.4748,135.0,0,6
S019,180,90,90,0.5,0.7778,0.0665,-0.1298,-22.7655,-22.192,0.7254,803.0,0,6
S020,180,90,90,0.5,0.7944,-0.0506,-0.1745,-25.3405,-25.4017,0.4358,143.0,0,6
S021,180,90,90,0.5,0.7389,-0.0862,-0.0857,-23.5018,-23.402,0.6636,402.0,0,6
S022,180,90,90,0.5,0.8556,0.0095,-0.0591,-22.2752,-22.2436,0.5368,695.0,0,6
S023,180,90,90,0.5,0.7167,-0.2836,-0.2713,-21.9907,-21.6712,0.708,649.0,0,6
S024,180,90,90,0.5,0.8111,-0.3508,-0.0495,-23.4227,-22.4272,1.2335,397.0,0,6
S025,180,90,90,0.5,0.8667,-0.2834,-0.1906,-24.2435,-23.9823,0.6706,145.0,0,6
S026,180,90,90,0.5,0.6778,-0.0568,-0.0768,-24.8945,-24.377,0.5078,166.0,0,6
S027,180,90,90,0.5,0.7778,-0.426,-0.199,-22.2102,-22.5153,0.6522,676.0,0,6
S028,180,90,90,0.5,0.8222,-0.1764,-0.1597,-21.5032,-22.2937,0.5949,712.0,0,6
S029,180,90,90,0.5,0.7611,-0.2503,-0.2171,-23.8472,-24.4975,0.7468,163.0,0,6
S030,180,90,90,0.5,0.7278,-0.1161,-0.0761,-24.747,-24.9575,0.4119,173.0,0,6
S031,180,90,90,0.5,0.75,-0.0897,-0.0826,-21.905,-22.7454,0.7226,311.0,0,6
S032,180,90,90,0.5,0.9,0.2659,-0.216,-22.4574,-22.0394,0.5272,673.0,0,6
S033,180,90,90,0.5,0.9333,-0.3437,-0.339,-23.9027,-23.5461,0.565,325.0,0,6
S034,175,90,85,0.4857142857142857,0.8057,-0.4085,-0.1355,-24.3266,-25.2661,0.8617,192.0,0,6
S035,180,90,90,0.5,0.7111,-0.2396,-0.2401,-23.6843,-24.2077,0.6053,391.0,0,6
S036,180,90,90,0.5,0.7556,0.0464,-0.077,-21.6611,-21.5133,0.5153,638.0,0,6
S037,175,90,85,0.4857142857142857,0.7486,-0.0665,-0.1111,-25.4906,-24.7685,0.5691,194.0,0,6
S038,180,90,90,0.5,0.5556,0.0354,-0.069,-22.8156,-22.5843,0.6236,580.0,0,6
S039,180,90,90,0.5,0.7167,0.0051,-0.1201,-21.9994,-21.9676,0.583,806.0,0,6
S040,180,90,90,0.5,0.5944,-0.026,-0.0679,-23.337,-23.151,0.3745,651.0,0,6
S041,176,90,86,0.48863636363636365,0.807,-0.002,-0.1643,-25.0478,-25.0983,0.5518,156.0,0,6
S042,180,90,90,0.5,0.8667,-0.1525,-0.2683,-23.8995,-24.1376,0.8929,133.0,0,6
S043,180,90,90,0.5,0.8222,-0.056,-0.2063,-22.5898,-22.3255,0.7905,806.0,0,6
S044,180,90,90,0.5,0.6611,-0.0714,-0.1411,-21.2231,-22.1338,0.9538,663.0,0,6
S045,180,90,90,0.5,0.9056,0.0125,-0.208,-22.1179,-22.0903,0.5527,700.0,0,6
S046,180,90,90,0.5,0.8167,0.4916,0.075,-22.1723,-22.3896,0.5021,734.0,0,6
S047,180,90,90,0.5,0.5556,-0.0199,-0.0284,-24.3435,-24.4588,0.5509,133.0,0,6
S048,180,90,90,0.5,0.8056,-0.3406,-0.1595,-20.3475,-21.3593,0.8315,693.0,0,6
S049,180,90,90,0.5,0.8278,-0.0883,-0.1795,-22.5018,-21.6038,0.7097,590.0,0,6
S050,180,90,90,0.5,0.7444,0.0305,-0.0127,-23.6906,-23.3298,0.4558,281.0,0,6
S051,177,90,87,0.4915254237288136,0.8083,-0.0942,-0.1481,-26.3584,-26.2204,0.4756,136.0,0,6
S052,180,90,90,0.5,0.7056,-0.3766,-0.2381,-21.8112,-22.3441,0.8245,642.0,0,6
S053,180,90,90,0.5,0.7222,-0.0548,-0.0155,-22.1096,-21.6934,0.6865,632.0,0,6
S054,180,90,90,0.5,0.7889,-0.5155,-0.1922,-21.6098,-22.389,0.7826,693.0,0,6
